"Status","Name","Duration in ms","Description"
"passed","Login.Login to SwagLabs Application with Correct credentials","1612",""
"passed","Buy Product.Buy a SwagLabs product successfully","17532",""
"passed","Login: Login to SwagLabs Application with Correct credentials","1611",""
"passed","Buy Product: Buy a SwagLabs product successfully","17528",""
"passed","Login.Login to SwagLabs Application with Wrong credentials","1379",""
"passed","Login: Login to SwagLabs Application with Wrong credentials","1380",""
"passed","Get User By ID using API: Get User by ID","710",""
"passed","Get User By ID using API.Get User by ID","666",""
